time (s),T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,P1,P2,P3,P4
114755.05,30.710000,30.660000,30.710000,30.680000,30.680000,30.660000,-356.580000,-356.620000,-356.620000,-356.620000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
0.24,30.710000,30.660000,30.710000,30.680000,30.710000,30.660000,-356.580000,-356.620000,-356.620000,-356.620000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
0.44,30.710000,30.660000,30.710000,30.680000,30.710000,30.660000,-356.580000,-356.620000,-356.620000,-356.620000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
0.65,30.710000,30.660000,30.710000,30.680000,30.710000,30.660000,-356.580000,-356.620000,-356.620000,-356.620000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
0.85,30.710000,30.680000,30.710000,30.680000,30.710000,30.660000,-356.580000,-356.620000,-356.620000,-356.620000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
1.06,30.710000,30.680000,30.710000,30.680000,30.710000,30.660000,-356.580000,-356.620000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
1.28,30.710000,30.680000,30.710000,30.680000,30.680000,30.660000,-356.580000,-356.620000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
1.48,30.710000,30.680000,30.710000,30.680000,30.680000,30.660000,-356.580000,-356.620000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
1.69,30.710000,30.680000,30.710000,30.680000,30.680000,30.660000,-356.580000,-356.620000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
1.90,30.710000,30.680000,30.710000,30.680000,30.680000,30.660000,-356.580000,-356.660000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
2.12,30.710000,30.680000,30.710000,30.680000,30.680000,30.660000,-356.580000,-356.660000,-356.620000,-356.620000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
2.32,30.710000,30.680000,30.710000,30.680000,30.680000,30.660000,-356.580000,-356.660000,-356.620000,-356.620000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
2.53,30.710000,30.680000,30.710000,30.660000,30.680000,30.660000,-356.580000,-356.660000,-356.620000,-356.620000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
2.74,30.710000,30.680000,30.710000,30.660000,30.680000,30.660000,-356.580000,-356.660000,-356.620000,-356.620000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
